"","x"
"X2",1
"X3",1
"X4",1
"X5",1
"X6",1
"X7",1
"X8",1
"X9",1
"X10",1
"X11",1
"X12",1
"X13",1
"X14",1
"X15",3
"X16",1
"X17",1
"X18",1
"X19",1
"X20",1
"X21",1
"X22",1
"X23",1
"X24",1
"X25",1
"X26",1
"X27",1
"X28",1
"X29",1
"X30",1
"X31",1
"X32",1
"X33",1
"X34",1
"X35",1
"X36",1
"X37",1
"X38",1
"X39",1
"X40",1
"X41",1
"X42",1
"X43",1
"X44",1
"X45",1
"X46",1
"X47",1
"X48",1
"X49",1
"X50",1
"X51",4
"X52",1
"X53",1
"X54",1
"X55",1
"X56",1
"X57",1
"X58",1
"X59",1
"X60",1
"X61",1
"X62",1
"X63",1
"X64",4
"X65",1
"X66",1
"X67",1
"X68",1
"X69",1
"X70",1
"X71",1
"X72",1
"X73",1
"X74",1
"X75",1
"X76",1
"X77",1
"X78",1
"X79",1
"X80",1
"X81",1
"X82",1
"X83",1
"X84",1
"X85",1
"X86",1
"X87",1
"X88",1
"X89",1
"X90",1
"X91",1
"X92",1
"X93",1
"X94",1
"X95",1
"X96",1
"X97",1
"X98",1
"X99",1
"X100",1
"X101",1
"X102",1
"X103",1
"X104",1
"X105",1
"X106",1
"X107",1
"X108",1
"X109",1
"X110",1
"X111",1
"X112",1
"X113",1
"X114",1
"X115",1
"X116",1
"X117",3
"X118",3
"X119",3
"X120",1
"X121",1
"X122",1
"X123",1
"X124",1
"X125",1
"X126",1
"X127",1
"X128",1
"X129",1
"X130",1
"X131",1
"X132",1
"X133",1
"X134",1
"X135",1
"X136",1
"X137",1
"X138",1
"X139",1
"X140",1
"X141",1
"X142",1
"X143",1
"X144",1
"X145",3
"X146",1
"X147",1
"X148",1
"X149",1
"X150",1
"X151",1
"X152",1
"X153",1
"X154",1
"X155",1
"X156",1
"X157",1
"X158",1
"X159",1
"X160",1
"X161",1
"X162",1
"X163",1
"X164",1
"X165",1
"X166",1
"X167",1
"X168",1
"X169",1
"X170",1
"X171",1
"X172",1
"X173",3
"X174",1
"X175",1
"X176",1
"X177",1
"X178",1
"X179",1
"X180",1
"X181",1
"X182",1
"X183",1
"X184",1
"X185",1
"X186",1
"X187",1
"X188",1
"X189",1
"X190",1
"X191",1
"X192",1
"X193",1
"X194",1
"X195",1
"X196",1
"X197",1
"X198",1
"X199",1
"X200",1
"X201",2
"X202",1
"X203",1
"X204",1
"X205",1
"X206",1
"X207",1
"X208",1
"X209",1
"X210",1
"X211",1
"X212",1
"X213",1
"X214",1
"X215",1
"X216",1
"X217",1
"X218",1
"X219",1
"X220",1
"X221",1
"X222",1
"X223",1
"X224",1
"X225",1
"X226",1
"X227",1
"X228",1
"X229",1
"X230",1
"X231",1
"X232",1
"X233",1
"X234",1
"X235",1
"X236",1
"X237",1
"X238",1
"X239",1
"X240",1
"X241",1
"X242",1
"X243",1
"X244",1
"X245",2
"X246",1
"X247",1
"X248",1
"X249",1
"X250",1
"X251",1
"X252",1
"X253",1
"X254",1
"X255",1
"X256",1
"X257",1
"X258",1
"X259",1
"X260",1
"X261",1
"X262",1
"X263",1
"X264",1
"X265",1
"X266",4
"X267",1
"X268",1
"X269",1
"X270",1
"X271",1
"X272",1
"X273",1
"X274",1
"X275",1
"X276",1
"X277",1
"X278",1
"X279",1
"X280",1
"X281",1
"X282",1
"X283",1
"X284",1
"X285",1
"X286",1
"X287",1
"X288",1
"X289",1
"X290",1
"X291",1
"X292",1
"X293",1
"X294",1
"X295",1
"X296",1
"X297",1
"X298",1
"X299",1
"X300",1
"X301",1
"X302",1
"X303",1
"X304",1
