,TCGA-CZ-5455-11,TCGA-CZ-5467-11,TCGA-B0-5697-01,TCGA-BP-4177-01,TCGA-B0-4815-01,TCGA-B2-3924-01,TCGA-B0-4843-01,TCGA-B0-5701-01,TCGA-B0-4828-01,TCGA-CZ-5982-01,TCGA-B0-4706-01,TCGA-CJ-4918-01,TCGA-MM-A564-01,TCGA-B0-4813-01,TCGA-CZ-5458-01,TCGA-B8-A54D-01,TCGA-CZ-5460-01,TCGA-CZ-5451-11,TCGA-BP-5191-01,TCGA-DV-A4VX-01,TCGA-AK-3425-01,TCGA-CZ-5468-01,TCGA-BP-5189-01,TCGA-B4-5844-01,TCGA-CZ-5451-01,TCGA-CW-5585-01,TCGA-CW-5583-01,TCGA-CJ-5678-01,TCGA-CZ-5464-01,TCGA-B8-5162-01,TCGA-A3-3385-01,TCGA-CW-5580-01,TCGA-CJ-4901-01,TCGA-B0-4814-01,TCGA-B2-5633-01,TCGA-CZ-5453-11,TCGA-CZ-5985-01,TCGA-MM-A84U-01,TCGA-B8-5553-01,TCGA-CZ-5458-11,TCGA-B0-4819-01,TCGA-B0-4694-01,TCGA-GK-A6C7-01,TCGA-A3-3367-01,TCGA-B0-4848-01,TCGA-CW-5587-01,TCGA-A3-A8OX-01,TCGA-B0-4691-01,TCGA-AK-3428-01,TCGA-B0-4852-01,TCGA-BP-5183-01,TCGA-DV-5576-01,TCGA-B0-4822-01,TCGA-B0-5712-11,TCGA-A3-A6NI-01,TCGA-CZ-5466-01,TCGA-BP-5010-01,TCGA-BP-5186-01,TCGA-CJ-4916-01,TCGA-B0-5695-01,TCGA-B0-5120-01,TCGA-B0-5712-01,TCGA-B0-4712-11,TCGA-B0-5100-01,TCGA-BP-4770-01,TCGA-CW-5589-01,TCGA-G6-A5PC-01,TCGA-B0-5711-01,TCGA-B0-4945-01,TCGA-CZ-5470-11,TCGA-B0-5110-01,TCGA-T7-A92I-01,TCGA-B0-5102-01,TCGA-CZ-5470-01,TCGA-CJ-4912-01,TCGA-B0-5108-01,TCGA-EU-5904-01,TCGA-B0-5705-01,TCGA-BP-5177-01,TCGA-CZ-5457-01,TCGA-B0-5399-01,TCGA-CZ-5986-01,TCGA-B8-4146-01,TCGA-B0-5700-01,TCGA-BP-5201-01,TCGA-B8-5550-01,TCGA-B0-4688-01,TCGA-B0-5115-01,TCGA-B0-4701-01,TCGA-CW-6090-01,TCGA-A3-3376-01,TCGA-B0-4703-01,TCGA-CJ-5677-01,TCGA-AK-3454-01,TCGA-B8-5159-01,TCGA-BP-5170-01,TCGA-CJ-6033-01,TCGA-B0-4690-01,TCGA-A3-3357-01,TCGA-CZ-5461-01,TCGA-BP-4760-01,TCGA-B0-5713-01,TCGA-B2-5636-01,TCGA-B8-5549-01,TCGA-B0-5106-01,TCGA-CZ-5468-11,TCGA-B0-5095-01,TCGA-B0-4844-01,TCGA-B0-4700-01,TCGA-A3-A8OV-01,TCGA-BP-5168-01,TCGA-B8-5158-01,TCGA-AK-3460-01,TCGA-CJ-4902-01,TCGA-B0-5696-01,TCGA-BP-5174-01,TCGA-6D-AA2E-01,TCGA-B0-5693-01,TCGA-B0-4811-01,TCGA-B0-5692-01,TCGA-B8-A54H-01,TCGA-CJ-6030-01,TCGA-BP-5202-01,TCGA-BP-5194-01,TCGA-CZ-5465-11,TCGA-CZ-5457-11,TCGA-A3-A6NL-01,TCGA-CJ-4903-01,TCGA-BP-5185-01,TCGA-B0-4818-01,TCGA-B4-5832-01,TCGA-AK-3461-01,TCGA-CZ-4864-11,TCGA-B8-A54G-01,TCGA-B8-A7U6-01,TCGA-AK-3450-01,TCGA-A3-A6NN-01,TCGA-CZ-4856-01,TCGA-CJ-5680-01,TCGA-CZ-5454-11,TCGA-B0-4823-01,TCGA-CZ-5987-01,TCGA-B8-4621-01,TCGA-CZ-4865-11,TCGA-B2-A4SR-01,TCGA-B4-5835-01,TCGA-BP-5169-01,TCGA-B0-4693-01,TCGA-B0-5691-01,TCGA-CZ-5462-11,TCGA-CJ-6028-01,TCGA-CJ-5671-01,TCGA-B0-5706-01,TCGA-B0-5402-11,TCGA-B0-5092-01,TCGA-B0-5121-01,TCGA-BP-5184-01,TCGA-B0-5702-01,TCGA-B2-4101-01,TCGA-CZ-5461-11,TCGA-B0-5710-01,TCGA-BP-5199-01,TCGA-CJ-5683-01,TCGA-CW-6097-01,TCGA-B0-5107-01,TCGA-AK-3440-01,TCGA-CZ-5465-01,TCGA-B8-5545-01,TCGA-CZ-5984-01,TCGA-B0-4712-01,TCGA-AK-3431-01,TCGA-CZ-5455-01,TCGA-AK-3453-01,TCGA-G6-A8L7-01,TCGA-B0-5098-01,TCGA-B4-5378-01,TCGA-B0-5096-01,TCGA-B0-5711-11,TCGA-BP-5176-01,TCGA-CW-5581-01,TCGA-B2-5641-01,TCGA-A3-3387-01,TCGA-CJ-4882-01,TCGA-DV-5573-01,TCGA-BP-5187-01,TCGA-B4-5377-01,TCGA-CJ-5675-01,TCGA-MM-A563-01,TCGA-B0-4846-01,TCGA-DV-5567-01,TCGA-CW-5588-01,TCGA-BP-4993-01,TCGA-A3-A8OW-01,TCGA-B0-4699-01,TCGA-CJ-4905-01,TCGA-B8-A54J-01,TCGA-B0-5699-01,TCGA-CZ-5456-11,TCGA-DV-5569-01,TCGA-3Z-A93Z-01,TCGA-B0-4847-01,TCGA-BP-5192-01,TCGA-B0-4718-01,TCGA-B0-5707-01,TCGA-CZ-4863-11,TCGA-B0-5402-01,TCGA-B0-4713-01,TCGA-A3-A8CQ-01,TCGA-A3-A6NJ-01,TCGA-B8-5546-01,TCGA-EU-5906-01,TCGA-CJ-4920-01,TCGA-CJ-5672-01,TCGA-BP-4782-01,TCGA-B0-5117-01,TCGA-CJ-6032-01,TCGA-AK-3433-01,TCGA-G6-A8L8-01,TCGA-CZ-5452-11,TCGA-B0-4827-01,TCGA-CJ-4908-01,TCGA-CZ-5989-01,TCGA-B0-4810-01,TCGA-B0-4698-01,TCGA-BP-5175-01,TCGA-BP-5198-01,TCGA-CZ-4865-01,TCGA-B0-4849-01,TCGA-BP-5182-01,TCGA-BP-5180-01,TCGA-B8-5165-01,TCGA-CZ-4853-01,TCGA-B0-5698-01,TCGA-DV-A4W0-05,TCGA-CJ-5679-01,TCGA-CZ-5467-01,TCGA-B8-5164-01,TCGA-BP-5173-01,TCGA-B0-4824-01,TCGA-CW-5591-01,TCGA-DV-5575-01,TCGA-B0-4845-01,TCGA-CW-5590-01,TCGA-B0-4841-01,TCGA-CZ-5469-11,TCGA-CZ-5463-11,TCGA-BP-5181-01,TCGA-A3-3358-01,TCGA-DV-5566-01,TCGA-DV-A4VZ-01,TCGA-B0-4697-01,TCGA-B0-5116-01,TCGA-B8-5163-01,TCGA-CZ-5452-01,TCGA-CW-5584-01,TCGA-B0-5690-01,TCGA-CJ-6027-01,TCGA-B0-5083-01,TCGA-CZ-5463-01,TCGA-CZ-5459-01,TCGA-DV-5565-01,TCGA-CJ-4907-01,TCGA-CZ-4864-01,TCGA-B8-4153-01,TCGA-CW-6087-01,TCGA-B0-4821-01,TCGA-CJ-6031-01,TCGA-EU-5907-01,TCGA-BP-4795-01,TCGA-CZ-5466-11,TCGA-CZ-5456-01,TCGA-B0-5400-01,TCGA-AK-3458-01,TCGA-CJ-5686-01,TCGA-B0-5113-01,TCGA-CJ-5676-01,TCGA-BP-5195-01,TCGA-CJ-5689-01,TCGA-B0-4817-01,TCGA-BP-5200-01,TCGA-B0-5109-01,TCGA-CZ-4866-01,TCGA-B8-A54K-01,TCGA-B0-4707-01,TCGA-B0-5097-01,TCGA-CW-6088-01,TCGA-B2-5639-01,TCGA-B8-A54I-01,TCGA-B8-A54F-01
hsa-mir-4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4794,0.305364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452167,0,0,0,0.2168,0,0,0,0,0,0.484128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171568,0,0,0,0,0.617555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117948,0,0,0,0,0,0,0.085184,0,0,0,0,0,0,0,0,0.238876,0,0.345624,0,0,0,0,0,0,0,0,0.623372,0,0,0,0,0,0,0.48885,0,0.541737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414394,0,0,0,0,0.352733,0,0,0,0.522822,0,0,0,0,0,0,0,0,0,0,0,0.06749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1284,0,0,0.563741,0,0,0,0,0,0,0,0,0,0,0,0.29735,0.425503,0,0,0,0.440343,0,0,0.509273,0,0.276512,0,0.368519,0,0.316674,0,0,0,0.940978,0,0.313454,0.279393,0,0.195762,0,0,0.856989,0,0.277056,0,0,0,0.13168,0,0.496352,0,0,0,0.970564,0,0.164467,0,0,0,0,0.435944,0,0,0,0,2.335012,0,0,0,0,0.223178,0,0,0,0,0,0,0,0.152492,0,0,0,0,0.747446,0,0.405598,0,0.787438,0,0,0,0,0,0,0,0.55737,0,0.559604,0,0.628474,0.368432,0,0.497595,0,0,0,0,0.994726,0,0,0,0,0,0,0,0.243663,1.11747,0.157605,0.395795,0,0.263931,0,0,0.475623,0,0.407366,0,0,0.557388,0,0.215589,0,0,0,0,0,0.542964,0,0,0,0,0,0,0.281748,0,0.308644,0,0.495133,0.536099,0,0,0,0.340371,0,0,0,0,0,0,0,0,0,0,0.688454,0,0.508134,0,0.448889,0,0.904627,0,0,0.265869,0,0,0,0,0,0,0.612841,0.343211,0,0,0,0.457387,0,0,0.279147,0.268644,0,0,0,0,0.117948,0,0,0,0,0.394394,0,0.085184,0,0.332478,0,0.622396,0,0,0,0,0,0,0.345624,0,0,0,0,0,0,0,0,0,0,0,0.156356,0.622173,0,0,0,0,0,0.404341,0,0,0,0,0,0.194252,0,0,0,0,0,0.513957,0,0,0.441665,0,0,0,0,0.256838,0,0,0,0,0,0,0,0,0.203691,0.355162,0,0.339248,0,0.499941,0.06749,0,0.38686,0,0,0,0.478394,0,0.136432,0,0,1.521773,0,0,0,0.366003,0,0,0,0.586462,0,0.218387,0.470143,0,0
hsa-mir-4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428495,0,0,0,0,0,0.13168,0.278665,0,0,0,0,0,0,0.164467,0,0,0,1.184259,0,0,0,0,0.287354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775597,0,0,0,0,0.157605,0,0,0,0,0,0,0,0,0.308154,0.141149,0,0,0.431177,0,0,0,0,0,0,0.26893,0,0,0,0,0,0,0,0.308644,0,0.495133,0,0,0,0,0.340371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412032,0,0,0,0,0.305259,0,0,0,0,0,0,0,0.306421,0,0,0,0.265799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.092019,0.622396,0.278359,0,0,0.121186,0.238876,0,0.345624,0,0,0.511881,0,0.315699,0,0,0,0,0,0,0,0,0,0.447042,0,0,0.541737,0,0,0,0,0,0,0,0.45421,0,0,0,0,0,0,0,0.147222,0,0,0,0,0.256838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726906,0,0,0.586462,0,0,0,0.244028,0
hsa-mir-1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32256,0,0,0,0,0,0,0,0,0,0.228694,0,0,0,0,0,0,0,0,0.117948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4796,0.305364,0.274625,0,0,0.707059,0.446043,0,0.646881,0.583953,0,0.18967,0,0.586078,0.445289,0.29735,0,0.493561,0.425746,0,4.403428,0.739281,0,0,0,0,0.433601,0.368519,0,0.316674,0.589356,1.063467,0.484128,0,0,0.313454,0,0,0,0,0,0.856989,0,0.138528,0,0,0.303928,0,0,0,0.692804,1.243653,0.225724,0,0.251937,0.328934,0.262868,0,0,0,0.217972,0,0.66118,0.262964,0,0,0.199657,0.989985,0,0,0,1.087098,0.469253,0,0,0.651204,0,0.231507,0.304985,0.404115,0,0.187785,0,0.747446,0.212882,0.405598,0,0,0.509761,0,0,0,0,0,0.298328,1.672111,0,0,0,0.628474,0,0,0,0,0,0,0,0,0,0,0.430383,0,0.775597,0,1.113407,0,0,0.157605,1.187386,1.120394,0.527862,0.171216,0,0,0,0.203683,0,0.282299,0,0.259633,0.215589,0,0,0,0,0.380105,0,0,0.353958,1.520662,0.279612,0,0,0,0.391469,0.925932,0,0,1.072199,0,0,0.683292,0.340371,0,0,0,0.978358,0,0,0,0.718027,0.826977,0,0.344227,0,0,0,1.346668,0,0.904627,0,0.305259,0,0,0,0.682491,0.165102,0.606983,0.228773,0.612841,0.343211,0.590669,0,0,0.228694,0.419882,0.924306,0.279147,0.537288,0,0,0,0,0.471793,0,1.265918,0.247876,0.912009,0,0.387315,0.340737,0.48748,0,0,0,0,0,0,0.242372,0.238876,0.702152,0.345624,0.530601,0,0.511881,0,0,0.347615,0.523465,0.254621,0,0,0,0,0,0,0,0.48885,0.752917,0,0,0.508808,0,0.457365,0.329725,0.750387,0.388504,0.908419,0.398232,1.300106,0.528239,0.50087,1.027914,0,0,0.294443,0.245788,0.592835,0,0.705465,0,0,0,0,0,1.505791,0,0,0.494663,0,0,0,0,0,0,0.269958,0.240333,0,0,0,0,0.956789,0,0.136432,0,2.292037,0.380443,0,0.524373,0.461555,0,0.726906,0.428148,0,0.586462,0,0.218387,0,0,0.483078
hsa-mir-1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
